11	7457705	false	open	false	3		2015-06-22T17:54:59Z	2016-09-23T10:41:24Z		API localization: open questions	61		
53	5688	true	closed	false	14		2016-01-09T11:20:58Z	2016-11-12T21:39:10Z	2016-11-12T21:39:10Z	proposal: use hard wrapping for code and soft wrapping for prose	37		
63	37303	false	closed	false	17		2016-01-22T04:29:28Z	2016-11-13T18:07:34Z	2016-11-13T18:07:34Z	Docs WG Sign-up Round #2	35		
76	767105	false	open	false	11		2016-02-05T16:30:33Z	2016-07-02T02:08:04Z		docs: Document Timers in Node	98		
87	3899684	false	open	false	5		2016-03-07T23:03:35Z	2016-10-19T16:58:39Z		api: harmonize personal pronouns	45		
96	3899684	false	closed	false	8		2016-04-10T13:01:57Z	2016-11-13T13:03:00Z	2016-11-13T13:03:00Z	Docs WG Meeting #4 - 2016-##-## @ 10:00AM PST	93		
108	6316590	true	closed	false	4		2016-07-02T01:27:20Z	2016-07-04T08:13:52Z	2016-07-03T11:45:48Z	Timers is documented	2		
109	1908865	false	open	false	0		2016-08-01T02:01:14Z	2016-08-01T02:01:14Z		Node v6.3.1 docs: net.Socket	116		
110	968267	false	open	false	3		2016-08-23T22:07:53Z	2016-09-11T19:18:54Z		StackOverflow Documentation for Node.js	144		
111	1663259	false	open	false	0		2016-09-19T12:08:01Z	2016-09-19T12:08:01Z		Circular reference for OS Constants	33		
112	149531	false	closed	false	2		2016-10-30T09:26:29Z	2016-10-31T23:44:18Z	2016-10-31T23:44:18Z	http ClientRequest documentation unclear about inheritance when visually scanning	66		
113	411114	false	closed	false	7		2016-11-13T15:10:37Z	2017-01-11T15:32:06Z	2017-01-10T19:38:45Z	.read() stream not fully explained 	67		
114	9204736	false	open	false	8		2016-12-01T20:05:18Z	2016-12-02T12:08:59Z		Rough Meeting Notes (2016-12-01 @ NINA)	182		
115	5818726	false	open	false	0		2016-12-05T19:11:09Z	2016-12-05T19:11:09Z		What errors can be thrown?	59		
116	205482	false	open	false	5		2016-12-07T00:50:52Z	2017-01-13T17:48:13Z		Async meetings	122		
117	17607	false	open	false	9		2016-12-13T21:39:37Z	2017-01-09T19:13:43Z		How-to use LetsEncrypt Guide	2		
118	498775	true	closed	false	0	0	2017-01-03T17:33:49Z	2017-01-05T23:29:22Z	2017-01-05T23:29:22Z	s/thealphanerd/mylesborins	4	498775	2017-01-05T23:29:22Z
119	205482	false	closed	false	29		2017-01-09T20:48:43Z	2017-01-13T19:01:02Z	2017-01-13T17:41:04Z	Meeting #1	77		
120	718899	false	open	false	0		2017-01-26T06:30:50Z	2017-01-26T06:30:50Z		Add @vsemozhetbyt?	43		
121	205482	false	open	false	0		2017-01-30T23:38:24Z	2017-01-30T23:38:24Z		Meeting #2	36		
